3722EB;7;143103;459726
3512AD;5;136625;456145
7951CC;7;210242;517738
6957DS;51;201971;454576
9163HG;5;180609;606792
9163HL;36;180615;607002
9164KZ;14;182474;606895
9164LV;3;182123;607911
9164LV;8;182151;607955
1432JH;20;115434;478368
9333PJ;7;225637;567977
9331WN;35;225965;565831
9356BA;13;220156;576946
9356BB;18;220098;577035
9356BC;13;220249;576628
9356VG;31;220037;576377
9422HP;8;226462;551677
9422GJ;18;226341;551448
9422EP;17;226440;551625
9422HH;9;226638;551834
9641BR;11;255597;570175
9641JG;88;255312;570125
9645AG;77;254509;570389
9645KL;30;255245;570984
9646DG;2;254066;570834
9645NC;51;254647;570862
9646DE;7;254151;570954
9649BA;15;253992;572899
9649BD;52;253967;572735
9649HZ;168;254515;571864
9649JS;1;254533;572470
6832EW;5;190802;441592
1431GZ;21;112554;474944
3068JB;860;96246;441467
1422WN;104;115492;473783
5233PC;26;150153;414383
6852EE;10;192105;439754
1438AX;156;113210;477244
1438AX;161;113061;477152
1421LB;58;115391;473369
6081AB;79;194712;360203
2441GD;102;113039;470604
2441GD;108;113067;470748
1433AP;23;112623;473017
1432NJ;64;115205;476999
1676GV;76;132436;528218
6833LP;114;191824;441619
6833LN;67;191799;441680
3054VK;65;93696;442037
6824DA;68;192124;444691
1187DV;7;115881;476658
7434PB;126;216576;475142
1118BH;293;112244;480312
2493ZP;12;87067;452965
1432PM;174;115366;476958
1432PJ;22;115326;476863
1431KG;1;112972;475239
6823EC;9;192910;445795
6828DM;88;191475;443896
1967GA;21;108200;501630
6852TG;19;191334;439144
6674AW;16;179213;435772
1424LH;57;113908;474110
1431CW;69;111276;475615
6811BK;63;191083;443832
6833LE;34;192031;442101
9649GP;65;254568;572935
1432LD;83;114743;476712
2632BN;231;86875;451903
2632BN;230;86876;451902
2632BL;165;86918;451858
1911LK;32;108532;503195
6828ZM;15;191679;443392
6833GX;62;191640;441745
7231NX;2;212327;460718
7437VZ;15;215917;474085
7231NV;45;212304;460905
7231ER;11;212820;461409
7231ET;8;212804;461445
7232BA;13;212639;460675
7232AT;91;212756;460716
7437CV;16;216747;474191
7232BL;47;212934;460836
7231AL;174;213332;462032
7231HB;61;212365;461288
1722KZ;23;115171;521935
1433KJ;89;111460;472035
1967JJ;81;107943;500725
1967HC;12;107851;501137
2493BM;37;86988;453211
1432NN;73;115045;476919
2493BK;47;86820;452991
1967KG;309;107769;500805
1967JJ;20;107922;500723
2632EK;136;86569;451251
5235JA;25;149402;415143
1025MT;200;123790;491229
1025TH;372;123915;490231
1025TP;465;123915;490231
1025TK;398;123915;490231
1118DT;19;111280;479084
1118DS;6;111164;479145